id,rarity,category,slots,max_level
supreme_sharpness,VERY_RARE,WEAPON,MAIN_HAND,100
advanced_sharpness,RARE,WEAPON,MAIN_HAND,25
extreme_sharpness,RARE,WEAPON,MAIN_HAND,20
ultra_edge,VERY_RARE,WEAPON,MAIN_HAND,15
titan_slayer,VERY_RARE,WEAPON,MAIN_HAND,10
giant_slayer,RARE,WEAPON,MAIN_HAND,10
swift_strike,VERY_RARE,WEAPON,MAIN_HAND,10
extension,VERY_RARE,WEAPON,MAIN_HAND,10
cursed_blade,VERY_RARE,WEAPON,MAIN_HAND,1
battle_hardened,RARE,WEAPON,MAIN_HAND,10
new_edge,RARE,WEAPON,MAIN_HAND,10
blood_drinker_edge,VERY_RARE,WEAPON,MAIN_HAND,5
bloodthirst,RARE,WEAPON,MAIN_HAND,10
bloodthirsty,RARE,WEAPON,MAIN_HAND,5
blood_pact,RARE,WEAPON,MAIN_HAND,5
blood_transfusion,UNCOMMON,WEAPON,MAIN_HAND,10
blood_edge,RARE,WEAPON,MAIN_HAND,5
wither_edge,VERY_RARE,WEAPON,MAIN_HAND,5
wither_blade,VERY_RARE,WEAPON,MAIN_HAND,1
crit_rate,VERY_RARE,WEAPON,MAIN_HAND,10
critical_strike,RARE,WEAPON,MAIN_HAND,5
damage_critical,RARE,WEAPON,MAIN_HAND,5
combo_slash,VERY_RARE,WEAPON,MAIN_HAND,3
annihilating_sweep,VERY_RARE,WEAPON,MAIN_HAND,5
fiery_sweep,RARE,WEAPON,MAIN_HAND,5
sweeping_burn_slash,RARE,WEAPON,MAIN_HAND,5
unbreakable,VERY_RARE,BREAKABLE,HANDS,1
soul_bound,VERY_RARE,BREAKABLE,HANDS,1
beheading,RARE,WEAPON,MAIN_HAND,5
decapitation,RARE,WEAPON,MAIN_HAND,5
execute_chance,VERY_RARE,DIGGER,MAIN_HAND,10
summon_army,VERY_RARE,WEAPON,MAIN_HAND,1
shadow_hunt,RARE,WEAPON,MAIN_HAND,5
plunder_wealth,RARE,WEAPON,MAIN_HAND,3
weakness_wound,UNCOMMON,WEAPON,MAIN_HAND,3
weakness_trauma,UNCOMMON,WEAPON,MAIN_HAND,3
brutal,UNCOMMON,WEAPON,MAIN_HAND,3
mighty_strike,UNCOMMON,WEAPON,MAIN_HAND,3
sighing_strike,UNCOMMON,WEAPON,MAIN_HAND,3
flint_strike,UNCOMMON,DIGGER,MAIN_HAND,3
promising_blade,UNCOMMON,WEAPON,MAIN_HAND,3
low_damage_critical,UNCOMMON,WEAPON,MAIN_HAND,3
poison_scar,UNCOMMON,WEAPON,MAIN_HAND,3
killing_sense,UNCOMMON,WEAPON,MAIN_HAND,3
sense,UNCOMMON,WEAPON,MAIN_HAND,3
desperate_kill,UNCOMMON,WEAPON,MAIN_HAND,3
food_power_strike,UNCOMMON,WEAPON,MAIN_HAND,3
devour,UNCOMMON,WEAPON,MAIN_HAND,3
experience_harvest,UNCOMMON,DIGGER,MAIN_HAND,3
blaze_sanctuary,UNCOMMON,WEAPON,MAIN_HAND,1
straight_punch_gauntlet,COMMON,ARMOR_CHEST,CHEST,5
lone_wolf,RARE,WEAPON,MAIN_HAND,5
mass_slaughter,RARE,WEAPON,MAIN_HAND,5
slow_heavy_weakness,RARE,WEAPON,MAIN_HAND,5
heavy_slow_hit,RARE,WEAPON,MAIN_HAND,3
solo_combat,RARE,WEAPON,MAIN_HAND,5
sharp_edge,UNCOMMON,WEAPON,MAIN_HAND,10
reinforced_sharpness,RARE,WEAPON,MAIN_HAND,10
sharpened_sharpness,RARE,WEAPON,MAIN_HAND,10
blazing_trauma,RARE,WEAPON,MAIN_HAND,5
blazing_soul_sweep,RARE,WEAPON,MAIN_HAND,5
sweeping_fire,RARE,WEAPON,MAIN_HAND,5
sweeping_enhancement,UNCOMMON,WEAPON,MAIN_HAND,5
